ID,Name,Math,Physics,Chemistry,English,Programming
1,Alice,95,57,53,75,75
2,Bob,69,58,58,92,65
3,Charlie,92,77,54,59,65
4,David,68,64,84,96,61
5,Eva,90,62,97,92,86
6,Farhan,69,78,89,75,60
7,Grace,65,94,79,79,77
8,Hannah,64,63,73,64,65
9,Ibrahim,79,56,74,80,98
10,Julia,71,52,81,92,67
11,Kevin,79,55,87,76,99
12,Lina,78,86,64,62,62
13,Mohan,97,64,70,63,74
14,Nina,61,74,69,87,83
15,Omar,65,73,74,71,77
16,Priya,98,91,56,96,70
17,Quinn,89,65,62,87,84
18,Ravi,72,90,96,93,74
19,Sara,98,70,55,72,62
20,Tina,75,75,69,62,73
